"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"51","RT @Akkisehra: #GDP
👇
2021 👉 8.7 % 
2022 👉7 % 
2023 👉 6.5 % 

ऐसा कोई भी साल नहीं रहा जब प्रति व्यक्ति आय बड़ी हो,महंगाई बेरोजगारी बढ़ने के…",FALSE,0,NA,2023-02-01 07:49:01,FALSE,NA,"1620690668963401730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YadavAditya01",11,TRUE,FALSE,NA,NA
"52","RT @GuideforAll: #EconomicSurvey 2022-23 pegs India's #GDP growth rate at 6-6.8% in FY24.

#EconomicSurvey2023 #Economics https://t.co/fO4V…",FALSE,0,NA,2023-02-01 07:48:33,FALSE,NA,"1620690552193978371",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BramhanaiduMba",30,TRUE,FALSE,NA,NA
"53","Fiscal deficit estimates for 2023-24 at 5.9% of #GDP, says FM Nirmala Sitharaman.

#BudgetwithFE #BudgetSession https://t.co/27NlV6ifRR",FALSE,0,NA,2023-02-01 07:48:30,FALSE,NA,"1620690539355185152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaNationalist",0,FALSE,FALSE,NA,NA
"54","#UnionBudget2023: Some Of The Iconic Union Budgets That India Saw In Past Union Budget 2022

#NirmalaSitharaman… https://t.co/WNTebY0qC1",FALSE,0,NA,2023-02-01 07:47:51,TRUE,NA,"1620690376100298753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","THEFREEMEDIA2K",0,FALSE,FALSE,NA,NA
"55","Correction

New Tax slab under new tax regime

#GDP #GDPgrowth #directtax",FALSE,0,"Sanjay_MK28",2023-02-01 07:47:19,FALSE,"1620689253545156608","1620690244684361728","935796943875436544","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sanjay_MK28",0,FALSE,FALSE,NA,NA
"56","RT @janjwar_com: #GDP #GDPgrowth #Modi 
कांग्रेस प्रवक्ता गौरव वल्लभ के मोदी शासन में जीडीपी पर उठाये इस सवाल के मायने तो हैं....
@GouravVa…",FALSE,0,NA,2023-02-01 07:47:08,FALSE,NA,"1620690196089143296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","prema4a",1,TRUE,FALSE,NA,NA
"57","#FY2023 fiscal deficit retained at budgeted 6.4% of #GDP, in line with expectations, with minor slip in #capex.… https://t.co/smwFQMGcSs",FALSE,0,"ICRALimited",2023-02-01 07:46:50,TRUE,"1620689942698684417","1620690121371840513","856768150708207616","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ICRALimited",0,FALSE,FALSE,NA,NA
"58","The #CAD recovered losses as November's #GDP exceeded estimates, but the #NZD fell after the #Q4 #umemployment rate… https://t.co/L4oLO85HUi",FALSE,0,NA,2023-02-01 07:44:21,TRUE,NA,"1620689496370221056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OrbexFX",0,FALSE,FALSE,NA,NA
"59","RT @startupkesari: Capital Investment up for 3rd consecutive year - #Budget2023 accounts for $122B+ (3.3% of #GDP) for #capex, a 33% ⬆️

#I…",FALSE,0,NA,2023-02-01 07:43:53,FALSE,NA,"1620689377381994496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mukherjee_1718",1,TRUE,FALSE,NA,NA
"60","RT @ETNOWlive: #BREAKING | Budget Fineprint 

-FY24 total receipts other than borrowing at Rs 27.2 lk cr
-FY24 total expenditure at Rs 45 l…",FALSE,0,NA,2023-02-01 07:43:38,FALSE,NA,"1620689315025289222",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjgms",1,TRUE,FALSE,NA,NA
